energy_type,product_name,postcode,town,consumption_from,consumption_to,unit_rate_gross_ct_per_kwh,standing_charge_gross_eur_per_month,signup_bonus,contract_length,price_guarantee
GAS,OctopusSelect+ 12 Gas,26676,Barßel,22000,39999,8.3157,16.97,140.0,12,12
GAS,OctopusSelect+ 12 Gas,26676,Barßel,40000,50000,8.3157,16.97,140.0,12,12
GAS,OctopusSelect+ 12 Gas,37586,Dassel,1001,11999,9.5771,2.97,19.72,12,12
GAS,OctopusSelect+ 12 Gas,37586,Dassel,12000,21999,9.1725,6.4,140.0,12,12
GAS,OctopusSelect+ 12 Gas,37586,Dassel,22000,39999,9.1725,6.4,140.0,12,12
GAS,OctopusSelect+ 12 Gas,37586,Dassel,40000,50000,9.1725,6.4,140.0,12,12
GAS,OctopusSelect+ 12 Gas,38106,Braunschweig,2001,11999,11.4335,5.15,43.59,12,12
GAS,OctopusSelect+ 12 Gas,38106,Braunschweig,12000,21999,11.0765,8.12,140.0,12,12
GAS,OctopusSelect+ 12 Gas,38106,Braunschweig,22000,39999,11.0765,8.12,140.0,12,12
GAS,OctopusSelect+ 12 Gas,38106,Braunschweig,40000,50000,10.9694,10.31,140.0,12,12
GAS,OctopusSelect+ 12 Gas,46325,Borken,2001,11999,9.0773,3.71,33.92,12,12
GAS,OctopusSelect+ 12 Gas,46325,Borken,12000,21999,8.9345,4.9,140.0,12,12
GAS,OctopusSelect+ 12 Gas,46325,Borken,22000,39999,8.9345,4.9,140.0,12,12
GAS,OctopusSelect+ 12 Gas,46325,Borken,40000,50000,8.8393,6.88,140.0,12,12
GAS,OctopusSelect+ 12 Gas,47574,Goch,2001,11999,9.9698,4.78,38.52,12,12
GAS,OctopusSelect+ 12 Gas,47574,Goch,12000,21999,9.8746,5.57,140.0,12,12
GAS,OctopusSelect+ 12 Gas,47574,Goch,22000,39999,9.8746,5.57,140.0,12,12
GAS,OctopusSelect+ 12 Gas,47574,Goch,40000,50000,9.6842,9.54,140.0,12,12
GAS,OctopusSelect+ 12 Gas,57413,Finnentrop,200,11999,10.0293,3.83,9.9,12,12
GAS,OctopusSelect+ 12 Gas,57413,Finnentrop,12000,21999,10.0293,3.83,140.0,12,12
GAS,OctopusSelect+ 12 Gas,57413,Finnentrop,22000,39999,9.8865,6.27,140.0,12,12
GAS,OctopusSelect+ 12 Gas,57413,Finnentrop,40000,50000,9.8865,6.27,140.0,12,12
GAS,OctopusSelect+ 12 Gas,71691,Freiberg,200,11999,10.5767,3.56,9.58,12,12
GAS,OctopusSelect+ 12 Gas,71691,Freiberg,12000,21999,10.5648,3.56,140.0,12,12
GAS,OctopusSelect+ 12 Gas,71691,Freiberg,22000,39999,10.5648,3.56,140.0,12,12
GAS,OctopusSelect+ 12 Gas,71691,Freiberg,40000,43999,10.5648,3.56,140.0,12,12
GAS,OctopusSelect+ 12 Gas,81671,München,200,11999,10.0293,3.46,9.24,12,12
GAS,OctopusSelect+ 12 Gas,81671,München,12000,21999,9.4819,6.68,140.0,12,12
GAS,OctopusSelect+ 12 Gas,81671,München,22000,39999,9.4819,6.68,140.0,12,12
GAS,OctopusSelect+ 12 Gas,81671,München,40000,50000,9.4819,6.68,140.0,12,12
GAS,OctopusSelect+ 12 Gas,86470,Thannhausen,200,11999,9.6485,3.07,8.42,12,12
GAS,OctopusSelect+ 12 Gas,86470,Thannhausen,12000,21999,9.1487,6.39,140.0,12,12
GAS,OctopusSelect+ 12 Gas,86470,Thannhausen,22000,39999,9.1487,6.39,140.0,12,12
GAS,OctopusSelect+ 12 Gas,86470,Thannhausen,40000,50000,9.0297,8.7,140.0,12,12
