energy_type,postcode,location_name,consumption_level_kwh,provider,product,unit_rate_ct_per_kwh,standing_charge_eur_per_year,signup_bonus,price_guarantee_months,contract_length_months
ELECTRICITY,10405,Berlin,3000,immergrün! energie,Spar Smart FairPlus,34.77,103.43,231.99,12,12 Monate
ELECTRICITY,10405,Berlin,3000,tado energy,tado° Home Monthly,27.44,107.64,0,1,1 Monat
ELECTRICITY,10405,Berlin,4000,123energie,123strom,33.65,177.54,285.01,12,12 Monate
ELECTRICITY,10405,Berlin,4000,123energie,123ökostrom,34.55,189.44,285.01,12,12 Monate
ELECTRICITY,10405,Berlin,4000,Aras Energy,Aras Ideal Basic,33.94,92.03,217,12,12 Monate
ELECTRICITY,10405,Berlin,4000,E WIE EINFACH,Grün & Günstig Strom,35.06,163.2,313.33,12,12 Monate
ELECTRICITY,10405,Berlin,4000,ENSTROGA,Fairpower X,18.73,173.41,0,1,1 Monat
ELECTRICITY,10405,Berlin,4000,ENTEGA,ENTEGA Ökostrom eco,36.93,100.19,330,12,12 Monate
ELECTRICITY,10405,Berlin,4000,EWE Vertrieb,EWE Zuhause+ Grünstrom,36.97,116.43,300,12,12 Monate
ELECTRICITY,10405,Berlin,4000,Elektrizitätsversorgung Berlin,ELEKTRIZITÄT BERLIN Strom,28.88,288.79,266.61,12,12 Monate
ELECTRICITY,10405,Berlin,4000,Fuxx - Die Sparenergie,Fuxx-Spar Optimal,36.18,97.54,291.69,12,12 Monate
ELECTRICITY,10405,Berlin,4000,Grünwelt Wärmestrom,Strom Bonus 12,37.08,251.91,503.27,12,12 Monate
ELECTRICITY,10405,Berlin,4000,Grüüün,Natüüürlich25,28.84,154.46,0,18,12 Monate
ELECTRICITY,10405,Berlin,4000,KlickEnergie,KlickNaturstrom,31.61,119.2,135,12,12 Monate
ELECTRICITY,10405,Berlin,4000,KlickEnergie,KlickStrom,31.42,119.2,135,12,12 Monate
ELECTRICITY,10405,Berlin,4000,MONTANA,MONTANA dynamic,33.07,119.67,199.92,1,1 Monat
ELECTRICITY,10405,Berlin,4000,MONTANA,MONTANA garant 12,35.06,168.22,285.58,12,12 Monate
ELECTRICITY,10405,Berlin,4000,Mainova,Strom Online 12,35.32,106.14,215,12,12 Monate
ELECTRICITY,10405,Berlin,4000,NEW Energie,NEWfair Strom 12,34.42,100.19,242.93,12,12 Monate
ELECTRICITY,10405,Berlin,4000,PLAN-B NET ZERO ENERGY,PBNZE DYNAMIC PRIVATE,22.92,131.1,0,1,1 Monat
ELECTRICITY,10405,Berlin,4000,R(H)EINPOWER,R(H)EINPOWER MeinStrom 12,34.07,141.84,270,12,12 Monate
ELECTRICITY,10405,Berlin,4000,R(H)EINPOWER,R(H)EINPOWER MeinStrom 12 Natur,34.55,141.84,270,12,12 Monate
ELECTRICITY,10405,Berlin,4000,Rabot Energy,rabot.home flex,23.01,112.47,51.41,1,1 Monat
ELECTRICITY,10405,Berlin,4000,SCHARR WÄRME,SCHARRMANT Öko Strom 12,34.72,126.4,239,12,12 Monate
ELECTRICITY,10405,Berlin,4000,SimplyGreen,SimplyGreen dynamisch,22.7,112.56,0,1,1 Monat
ELECTRICITY,10405,Berlin,4000,Stadtwerke Augsburg,swa Strom Online natur,35.77,123.99,261.68,12,12 Monate
ELECTRICITY,10405,Berlin,4000,Stadtwerke Karlsruhe,BesserVersorgt Strom fix,34.15,160.29,249,12,12 Monate
ELECTRICITY,10405,Berlin,4000,Stadtwerke München,M-Strom Fix,37.95,149.21,435.2,12,12 Monate
ELECTRICITY,10405,Berlin,4000,Stadtwerke München,M-Ökostrom Fix,38.9,149.21,435.2,12,12 Monate
ELECTRICITY,10405,Berlin,4000,Stadtwerke Pforzheim,SWP MaxSpar Strom,34.15,112.09,177,12,12 Monate
ELECTRICITY,10405,Berlin,4000,Stadtwerke Schwerin,meckpommSTROM 12,34.61,112.09,210,12,12 Monate
ELECTRICITY,10405,Berlin,4000,Stadtwerke Schwerin,meckpommSTROM natur 12,34.91,112.09,210,12,12 Monate
ELECTRICITY,10405,Berlin,4000,TEAG Thüringer Energie,TEAG.Strom direkt,35.07,120.86,350,12,12 Monate
ELECTRICITY,10405,Berlin,4000,Tibber Deutschland,Dynamischer Tarif,22.46,124.52,45.88,1,1 Monat
ELECTRICITY,10405,Berlin,4000,Vattenfall Sales,ÖkoStrom12 Berlin,35.7,130.8,321,12,12 Monate
ELECTRICITY,10405,Berlin,4000,Vattenfall Sales,ÖkoStrom12 Smart Berlin,35.7,130.8,319,12,12 Monate
ELECTRICITY,10405,Berlin,4000,VeganStrom,VeganStrom Solarplus,34.75,115.8,225.87,12,12 Monate
ELECTRICITY,10405,Berlin,4000,eins energie in sachsen,einsstrom Online,32.76,115.1,125,12,12 Monate
ELECTRICITY,10405,Berlin,4000,enviaM,MEIN STROM relax,35.66,137.09,315.2,12,12 Monate
ELECTRICITY,10405,Berlin,4000,eprimo,eprimoStrom PrimaKlima,36.99,161.26,408.87,12,12 Monate
ELECTRICITY,10405,Berlin,4000,goldstrom,goldgas sicher12 Strom,34.75,156.85,300,12,12 Monate
ELECTRICITY,10405,Berlin,4000,goldstrom,natürlich12 Strom,35.04,156.85,300,12,12 Monate
ELECTRICITY,10405,Berlin,4000,immergrün! energie,Spar Smart FairPlus,35.96,103.43,331.24,12,12 Monate
ELECTRICITY,10405,Berlin,4000,tado energy,tado° Home Monthly,27.44,107.64,0,1,1 Monat
ELECTRICITY,10405,Berlin,5000,123energie,123strom,33.65,177.54,300,12,12 Monate
ELECTRICITY,10405,Berlin,5000,123energie,123ökostrom,34.55,189.44,300,12,12 Monate
ELECTRICITY,10405,Berlin,5000,Aras Energy,Aras Ideal Basic,33.94,92.03,268,12,12 Monate
ELECTRICITY,10405,Berlin,5000,E WIE EINFACH,Grün & Günstig Strom,34.99,163.2,327.26,12,12 Monate
ELECTRICITY,10405,Berlin,5000,ENSTROGA,Fairpower X,19.56,173.41,0,1,1 Monat
ELECTRICITY,10405,Berlin,5000,ENTEGA,ENTEGA Ökostrom eco,36.93,100.19,328,12,12 Monate
ELECTRICITY,10405,Berlin,5000,Elektrizitätsversorgung Berlin,ELEKTRIZITÄT BERLIN Strom,28.3,353.66,315.28,12,12 Monate
ELECTRICITY,10405,Berlin,5000,Fuxx - Die Sparenergie,Fuxx-Spar Optimal,37.18,68.13,349.04,12,12 Monate
ELECTRICITY,10405,Berlin,5000,Grünwelt Wärmestrom,Strom Bonus 12,37.08,233.74,574.16,12,12 Monate
ELECTRICITY,10405,Berlin,5000,Grüüün,Natüüürlich25,28.84,154.46,0,18,12 Monate
ELECTRICITY,10405,Berlin,5000,KlickEnergie,KlickNaturstrom,31.91,119.2,135,12,12 Monate
ELECTRICITY,10405,Berlin,5000,KlickEnergie,KlickStrom,31.72,119.2,135,12,12 Monate
ELECTRICITY,10405,Berlin,5000,LichtBlick,ÖkoStrom Komfort 12,34.33,181.18,284.65,12,12 Monate
ELECTRICITY,10405,Berlin,5000,MONTANA,MONTANA dynamic,33.07,119.67,249.9,1,1 Monat
ELECTRICITY,10405,Berlin,5000,MONTANA,MONTANA garant 12,35.16,168.22,338.97,12,12 Monate
ELECTRICITY,10405,Berlin,5000,NEW Energie,NEWfair Strom 12,34.42,100.19,252.06,12,12 Monate
ELECTRICITY,10405,Berlin,5000,Ostrom,Ostrom SimplyFair,31.02,124.58,50.04,1,1 Monat
ELECTRICITY,10405,Berlin,5000,PLAN-B NET ZERO ENERGY,PBNZE DYNAMIC PRIVATE,22.92,131.1,0,1,1 Monat
ELECTRICITY,10405,Berlin,5000,R(H)EINPOWER,R(H)EINPOWER MeinStrom 12,34.07,141.84,270,12,12 Monate
ELECTRICITY,10405,Berlin,5000,R(H)EINPOWER,R(H)EINPOWER MeinStrom 12 Natur,34.55,141.84,270,12,12 Monate
ELECTRICITY,10405,Berlin,5000,Rabot Energy,rabot.home flex,23.01,112.47,51.41,1,1 Monat
ELECTRICITY,10405,Berlin,5000,Rabot Energy,rabot.home flex,23.01,112.47,51.41,1,1 Monat
ELECTRICITY,10405,Berlin,5000,SCHARR WÄRME,SCHARRMANT Öko Strom 12,34.72,126.4,239,12,12 Monate
ELECTRICITY,10405,Berlin,5000,SimplyGreen,SimplyGreen dynamisch,22.7,112.56,0,1,1 Monat
ELECTRICITY,10405,Berlin,5000,Stadtwerke Augsburg,swa Strom Online natur,35.77,123.99,280.76,12,12 Monate
ELECTRICITY,10405,Berlin,5000,Stadtwerke Karlsruhe,BesserVersorgt Strom fix,34.15,160.29,258,12,12 Monate
ELECTRICITY,10405,Berlin,5000,Stadtwerke München,M-Strom Fix,37.95,149.21,450,12,12 Monate
ELECTRICITY,10405,Berlin,5000,Stadtwerke Pforzheim,SWP MaxSpar Strom,34.15,112.09,218,12,12 Monate
ELECTRICITY,10405,Berlin,5000,Stadtwerke Schwerin,meckpommSTROM 12,34.61,112.09,210,12,12 Monate
ELECTRICITY,10405,Berlin,5000,TEAG Thüringer Energie,TEAG.Strom direkt,35.07,120.86,350,12,12 Monate
ELECTRICITY,10405,Berlin,5000,Tibber Deutschland,Dynamischer Tarif,22.46,124.52,45.88,1,1 Monat
ELECTRICITY,10405,Berlin,5000,Vattenfall Sales,ÖkoStrom12 Berlin,35.7,130.8,341,12,12 Monate
ELECTRICITY,10405,Berlin,5000,Vattenfall Sales,ÖkoStrom12 Smart Berlin,35.7,130.8,339,12,12 Monate
ELECTRICITY,10405,Berlin,5000,VeganStrom,VeganStrom Solarplus,34.75,115.8,278,12,12 Monate
ELECTRICITY,10405,Berlin,5000,eins energie in sachsen,einsstrom Online,33,115.1,125,12,12 Monate
ELECTRICITY,10405,Berlin,5000,enviaM,MEIN STROM relax,35.66,137.09,341.5,12,12 Monate
ELECTRICITY,10405,Berlin,5000,eprimo,eprimoStrom PrimaKlima,37.4,154.18,455,12,12 Monate
ELECTRICITY,10405,Berlin,5000,goldstrom,goldgas sicher12 Strom,34.75,183.03,299.99,12,12 Monate
ELECTRICITY,10405,Berlin,5000,goldstrom,natürlich12 Strom,35.04,183.03,300,12,12 Monate
ELECTRICITY,10405,Berlin,5000,immergrün! energie,EnerFlex Prime IG,30,174.47,50,1,1 Monat
ELECTRICITY,10405,Berlin,5000,immergrün! energie,Spar Smart FairPlus,37.03,68.13,387.93,12,12 Monate
ELECTRICITY,10405,Berlin,5000,tado energy,tado° Home Monthly,27.44,107.64,0,1,1 Monat
ELECTRICITY,10405,Berlin,6000,123energie,123strom,33.65,177.54,300,12,12 Monate
ELECTRICITY,10405,Berlin,6000,123energie,123ökostrom,34.55,189.44,300,12,12 Monate
ELECTRICITY,10405,Berlin,6000,Aras Energy,Aras Ideal Basic,33.94,92.03,268,12,12 Monate
ELECTRICITY,10405,Berlin,6000,E WIE EINFACH,MeinÖkoTarif Strom,34.91,166.8,327.64,12,12 Monate
ELECTRICITY,10405,Berlin,6000,ENSTROGA,Fairpower X,20.1,173.41,0,1,1 Monat
ELECTRICITY,10405,Berlin,6000,ENTEGA,ENTEGA Ökostrom eco,36.93,100.19,329,12,12 Monate
ELECTRICITY,10405,Berlin,6000,Elektrizitätsversorgung Berlin,ELEKTRIZITÄT BERLIN Strom,29.08,436.28,377.19,12,12 Monate
ELECTRICITY,10405,Berlin,6000,Erenja,Ökostrom Flex,31.04,123.95,0,1,1 Monat
ELECTRICITY,10405,Berlin,6000,Fuxx - Die Sparenergie,Fuxx-Spar Optimal,37.87,68.13,411.01,12,12 Monate
ELECTRICITY,10405,Berlin,6000,Grünwelt Wärmestrom,Strom Bonus 12,37.08,235.35,600.02,12,12 Monate
ELECTRICITY,10405,Berlin,6000,Grünwelt Wärmestrom,Strom Classic,31.48,89.27,0,12,12 Monate
ELECTRICITY,10405,Berlin,6000,Grüüün,Natüüürlich25,28.84,154.46,0,18,12 Monate
ELECTRICITY,10405,Berlin,6000,KlickEnergie,KlickNaturstrom,31.91,119.2,135,12,12 Monate
ELECTRICITY,10405,Berlin,6000,KlickEnergie,KlickStrom,31.72,119.2,135,12,12 Monate
ELECTRICITY,10405,Berlin,6000,Knauber Strom,Knauber Strom Flexibel,30.78,105,0,3,3 Monate
ELECTRICITY,10405,Berlin,6000,LichtBlick,ÖkoStrom Komfort 12,34.33,181.18,300,12,12 Monate
ELECTRICITY,10405,Berlin,6000,MONTANA,MONTANA dynamic,33.07,119.67,299.88,1,1 Monat
ELECTRICITY,10405,Berlin,6000,MONTANA,MONTANA garant 12,35.24,168.22,392.36,12,12 Monate
ELECTRICITY,10405,Berlin,6000,NEW Energie,NEWfair Strom 12,34.42,100.19,275.66,12,12 Monate
ELECTRICITY,10405,Berlin,6000,Naturwerke,Naturstrom Premium classic,31.2,105.14,0,12,12 Monate
ELECTRICITY,10405,Berlin,6000,Ostrom,Ostrom SimplyFair,31.02,124.58,50.04,1,1 Monat
